person_id,name_cn,english_name_candidate,academy_memberships,first_domestic_academician_year,election_division,election_affiliation,official_homepage_url,verified_doi,verified_title,verified_journal,verified_year,verified_confidence,audit_status,candidate_doi,candidate_title,candidate_evidence,recommended_search_query
ACAD00002,丁仲礼,Zhongli Ding,CAS,2005,地学部,中国科学院地质与地球物理研究所,https://casad.cas.cn/ysxx2022/ysmd/dxb/200906/t20090624_1804464.html,10.1016/j.epsl.2008.08.001,,,,原表已有,已核验/已有 DOI,,,,Zhongli Ding | 中国科学院地质与地球物理研究所 | 地学部 | English journal DOI
ACAD00003,丁伟岳,Weiyue Ding,CAS,1997,数学物理学部,中国科学院数学研究所,https://casad.cas.cn/ysxx2022/ygys/200906/t20090624_1792073.html,10.1007/s00222-005-0491-7,,,,原表已有,已核验/已有 DOI,,,,Weiyue Ding | 中国科学院数学研究所 | 数学物理学部 | English journal DOI
ACAD00007,丁夏畦,Xiaqi Ding,CAS,1991,数学物理学部,中国科学院系统科学研究所武汉数学物理研究所,https://casad.cas.cn/ysxx2022/ygys/200906/t20090624_1792072.html,10.1016/j.jnt.2005.12.007,,,,原表已有,已核验/已有 DOI,,,,Xiaqi Ding | 中国科学院系统科学研究所武汉数学物理研究所 | 数学物理学部 | English journal DOI
ACAD00009,丁奎岭,Kuiling Ding,CAS,2013,化学部,中国科学院上海有机化学研究所,https://casad.cas.cn/ysxx2022/ysmd/hxb/201312/t20131219_4646084.html,10.1002/anie.201309521,,,,原表已有,已核验/已有 DOI,,,,Kuiling Ding | 中国科学院上海有机化学研究所 | 化学部 | English journal DOI
ACAD00013,丁林,Lin Ding,CAS,2017,地学部,中国科学院青藏高原研究所,https://casad.cas.cn/ysxx2022/ysmd/dxb/201711/t20171129_4625076.html,10.1016/j.cretres.2024.106035,,,,原表已有,已核验/已有 DOI,,,,Lin Ding | 中国科学院青藏高原研究所 | 地学部 | English journal DOI
ACAD00014,丁汉,Han Ding,CAS,2013,技术科学部,华中科技大学,https://casad.cas.cn/ysxx2022/ysmd/jskx/201312/t20131219_4002051.html,10.1109/TMECH.2023.3267980,,,,原表已有,已核验/已有 DOI,,,,Han Ding | 华中科技大学 | 技术科学部 | English journal DOI
ACAD00019,丁赤飚,Chibiao Ding,CAS,2021,信息技术科学部,中国科学院空天信息创新研究院,https://casad.cas.cn/ysxx2022/ysmd/xxjs/202201/t20220111_4821784.html,10.1016/j.isprsjprs.2020.10.013,,,,原表已有,已核验/已有 DOI,,,,Chibiao Ding | 中国科学院空天信息创新研究院 | 信息技术科学部 | English journal DOI
ACAD00021,万卫星,Weixing Wan,CAS,2011,地学部,中国科学院地质与地球物理研究所,https://casad.cas.cn/ysxx2022/ygys/201112/t20111213_3412388.html,10.1038/s41550-020-1148-6,,,,原表已有,已核验/已有 DOI,,,,Weixing Wan | 中国科学院地质与地球物理研究所 | 地学部 | English journal DOI
ACAD00022,万哲先,Zhexian Wan,CAS,1991,数学物理学部,中国科学院系统科学研究所,https://casad.cas.cn/ysxx2022/ygys/200906/t20090624_1792011.html,10.1016/0012-365X(93)90013-J,,,,原表已有,已核验/已有 DOI,,,,Zhexian Wan | 中国科学院系统科学研究所 | 数学物理学部 | English journal DOI
ACAD00023,万宝年,Baonian Wan,CAS,2021,数学物理学部,中国科学院合肥物质科学研究院,https://casad.cas.cn/ysxx2022/ysmd/sxwl/202201/t20220111_4821734.html,10.1016/j.fusengdes.2020.111516,,,,原表已有,已核验/已有 DOI,,,,Baonian Wan | 中国科学院合肥物质科学研究院 | 数学物理学部 | English journal DOI
ACAD00025,万惠霖,Huilin Wan,CAS,1997,化学部,厦门大学,https://casad.cas.cn/ysxx2022/ygys/200906/t20090624_1802137.html,10.1039/b806141a,,,,原表已有,已核验/已有 DOI,,,,Huilin Wan | 厦门大学 | 化学部 | English journal DOI
ACAD00026,万立骏,Lijun Wan,CAS,2009,化学部,中国科学院化学研究所,https://casad.cas.cn/ysxx2022/ysmd/hxb/200912/t20091203_2681359.html,10.1073/pnas.2423542122,,,,原表已有,已核验/已有 DOI,,,,Lijun Wan | 中国科学院化学研究所 | 化学部 | English journal DOI
ACAD00027,丑纪范,Jifan Chou,CAS,1993,地学部,国家气象局北京气象学院,https://casad.cas.cn/ysxx2022/ysmd/dxb/200906/t20090624_1804478.html,10.1007/BF02577402,,,,原表已有,已核验/已有 DOI,,,,Jifan Chou | 国家气象局北京气象学院 | 地学部 | English journal DOI
ACAD00030,严加安,Jiaan Yan,CAS,1999,数学物理学部,中国科学院应用数学研究所,https://casad.cas.cn/ysxx2022/ysmd/sxwl/200906/t20090624_1791986.html,10.1007/BFb0088337,,,,原表已有,已核验/已有 DOI,,,,Jiaan Yan | 中国科学院应用数学研究所 | 数学物理学部 | English journal DOI
